material,temperature,ph,co2_pressure,h2s_concentration,flow_rate,chloride_content,corrosion_rate,risk_level
carbon_steel,89.8,4.52,2.6,130.9,6.71,33635.0,5.2235,severe
duplex_2205,73.6,6.48,2.401,123.5,6.23,39834.0,0.0642,low
stainless_316,51.0,8.3,0.138,453.1,4.8,12523.0,0.0069,low
stainless_316,101.4,7.53,1.713,124.8,7.67,31244.0,0.2805,medium
carbon_steel,88.5,7.94,1.907,136.0,2.0,28587.0,1.3923,severe
carbon_steel,36.3,7.12,2.0,379.7,1.32,41642.0,0.1763,medium
carbon_steel,111.1,7.31,2.905,224.9,6.9,45304.0,7.8091,severe
alloy_825,102.3,8.17,2.673,388.4,3.79,608.0,0.0756,low
stainless_316,115.0,4.87,3.043,32.7,6.85,33701.0,1.4562,severe
stainless_316,92.6,6.19,3.827,243.8,7.2,2592.0,0.318,medium
carbon_steel,81.3,4.72,4.067,16.8,0.97,27443.0,2.7503,severe
duplex_2205,61.8,8.93,3.593,31.3,7.13,14382.0,0.0362,low
alloy_825,113.3,8.69,4.778,453.2,3.86,15339.0,0.211,medium
carbon_steel,106.6,3.72,0.101,69.6,4.33,17648.0,1.1952,severe
carbon_steel,24.5,7.38,0.987,266.2,5.2,31065.0,0.0858,low
carbon_steel,22.6,8.59,0.048,205.5,7.45,16702.0,0.0122,low
carbon_steel,57.6,4.49,3.241,173.7,0.64,36635.0,0.9135,high
stainless_316,101.1,6.62,4.491,449.9,4.08,20226.0,0.4607,medium
carbon_steel,118.7,8.54,1.225,10.9,5.66,3418.0,2.9162,severe
carbon_steel,35.0,3.69,4.636,331.9,5.92,39188.0,1.0294,severe
stainless_316,79.4,7.34,0.311,481.7,5.69,14288.0,0.0368,low
carbon_steel,58.1,5.14,4.673,280.1,1.51,21638.0,1.032,severe
carbon_steel,117.0,8.58,1.765,468.4,2.75,34272.0,3.8284,severe
carbon_steel,104.2,8.84,0.516,26.1,3.19,16623.0,0.7742,high
carbon_steel,103.8,8.69,2.435,209.4,6.53,2829.0,3.4508,severe
alloy_825,66.9,6.11,1.291,130.1,2.59,18696.0,0.008,low
carbon_steel,61.5,8.24,1.432,365.4,2.08,47222.0,0.4193,medium
stainless_316,47.3,8.15,1.543,490.6,7.68,32087.0,0.0415,low
stainless_316,25.6,5.26,4.017,128.3,0.57,33574.0,0.0268,low
carbon_steel,106.5,8.06,2.7,327.1,7.98,31614.0,6.0063,severe
stainless_316,101.3,3.7,1.563,99.0,5.58,9950.0,0.6022,high
carbon_steel,120.0,6.78,3.056,282.7,6.71,20917.0,9.6989,severe
carbon_steel,119.7,4.77,3.584,232.0,2.71,37547.0,12.2659,severe
duplex_2205,75.5,4.16,1.37,486.0,0.61,5069.0,0.073,low
duplex_2205,96.9,3.92,2.074,304.3,6.03,13893.0,0.3386,medium
alloy_825,114.5,7.33,0.618,174.8,6.76,13816.0,0.052,low
carbon_steel,105.0,5.37,0.914,57.0,6.05,21601.0,2.7186,severe
carbon_steel,44.7,7.49,3.409,75.6,1.57,49018.0,0.285,medium
